"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","87/1935","331/18860",0.262839879154079,2.56183985573433,9.69303952482052,6.35189687963961e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0043062","GO:0043062","extracellular structure organization","87/1935","332/18860",0.262048192771084,2.55412347062669,9.65996974842692,7.76305630315874e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0045229","GO:0045229","external encapsulating structure organization","87/1935","333/18860",0.261261261261261,2.54645343017436,9.62702031935346,9.47759211649745e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0061448","GO:0061448","connective tissue development","78/1935","307/18860",0.254071661237785,2.47637805216777,8.81850919449566,1.92960800243336e-14,2.776223513501e-11,2.22666607649218e-11,"COL11A1/SULF1/ADAMTS12/COL1A1/TGFBI/STC1/PTH1R/COMP/PRRX1/SH3PXD2B/WNT5A/COL3A1/MMP13/ACAT1/CCN4/RUNX1/LOXL2/MATN3/MSX2/COL5A1/CHRDL2/SNAI1/IL6R/SERPINH1/PDGFRB/BGN/PRKG2/CD44/SOX9/ITGB8/WNT7B/SLC26A2/FGF18/GPR4/LOX/SERPINB7/SCIN/HOXD3/BMP2/BMP5/CTSK/HES5/EPYC/WT1/PDGFB/BMP7/PPARGC1A/PDGFD/LUM/GDF7/TIMP1/HMGCS2/GUCA2B/PLAAT3/RSPO2/WNT11/BMP6/AXIN2/DGAT2/HAND1/EBF2/NR1H4/GHR/BMP3/CNMD/COL27A1/TRPV4/UMODL1/FOXD1/GPLD1/TGFB2/NKX3-2/GDF5/ZBTB16/FAM83A/FOXC2/LEP/IL17F",78
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","69/1935","279/18860",0.247311827956989,2.41049151176683,8.02552613165914,2.45258792728781e-12,2.82292870430827e-09,2.26412590761201e-09,"CELSR3/CDH11/ROBO2/DSG3/CDH3/DSG4/PCDH17/FGFRL1/CDH23/SELE/AJUBA/UNC5D/PCDHGA1/PTK7/CDH6/PCDHB9/CLDN23/ITGAL/PCDHB14/SLITRK3/BMP2/CELSR1/KLF4/DSC3/PCDH11X/PCDH11Y/PCDH19/CLDN16/CRTAM/MPZ/FXYD5/DSG1/TENM4/CLDN1/CNTN4/NECTIN4/PCDHGB4/CLDN18/REG3A/SCARF2/CLDN2/SELP/IL1RN/ADIPOQ/CDH8/PCDHB10/MYPN/PCDHB16/ELFN1/PCDH9/PCDHA3/CDHR2/CEACAM1/ADGRL3/CLDN14/CDH16/CDHR5/PCDHA1/CDH22/PCDHGB5/PCDHB8/CDH19/CLDN19/CLDN6/TGFB2/PCDHA13/CNTN2/DCHS2/ITGA5",69
"GO:0002443","GO:0002443","leukocyte mediated immunity","101/1935","488/18860",0.206967213114754,2.01726182911848,7.69839015837186,3.61078075776546e-12,3.46334054349004e-09,2.77776730224589e-09,"TREM1/ANXA3/CFI/IL1B/ULBP1/STAP1/IL6/RAET1L/IL6R/TNFSF4/APLF/IL23A/FCGR3B/DAO/PLCG2/CD27/CXCL6/DNASE1L3/KLRB1/DDX21/ULBP2/AZGP1/FCAR/CD96/SPON2/SLAMF7/FCGR3A/CD160/ULBP3/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/CD8A/IGLC2/ZP3/KIR2DL4/IGLC3/CRTAM/IGHV3-49/IGKC/CD7/EXO1/IGHV3-64/GZMM/IGHV3-7/CCR2/KIT/TBX21/IGHV1-18/NECTIN4/KLRC1/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/GZMB/IGHV1-45/IGLC7/IGHG3/IL2/SECTM1/KLRC4/RAET1G/KLRC3/CEACAM1/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/KLRC2/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/PTGDR/C4BPB/SH2D1B/AICDA/IGHG4/CLC/SCNN1B/IGHV2-26/RAET1E/IGHV4-28/GRP/MRGPRX2/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39/LEP",101
"GO:0042445","GO:0042445","hormone metabolic process","63/1935","246/18860",0.25609756097561,2.49612403100775,7.98639477046206,4.33101096278944e-12,3.56070972726475e-09,2.85586211606492e-09,"INHBA/SULT1A1/ANPEP/CORIN/TG/KLK6/UGT1A1/CYP3A4/SPP1/DHRS11/CRHBP/ALDH1A3/STC2/BACE2/DIO2/BMP2/BMP5/CTSK/CEL/DHRS2/HSD3B2/PAPSS2/PCSK5/AKR1C2/AKR1B10/HSD17B2/RETSAT/SHH/MBOAT4/AFP/RDH5/UGT1A8/BMP6/ADH6/SULT1B1/DGAT2/HPN/ESR1/MEP1A/ADH1B/GHR/CYP3A7/DUOXA2/MME/CRABP2/PCSK2/GCNT4/CYP19A1/HSD17B3/AKR1C4/BCHE/ADH1A/SCNN1B/DUOX2/FFAR3/UGT1A7/ADH1C/UGT1A9/RBP1/GAL/CYP2W1/LEP/SLC30A8",63
"GO:0019730","GO:0019730","antimicrobial humoral response","52/1935","184/18860",0.282608695652174,2.75452196382429,8.0865125406201,5.93087244779489e-12,4.26652136713245e-09,3.42195732678692e-09,"SLC11A1/CXCL8/PRSS2/KRT6A/MMP7/REG1B/CXCL1/KLK7/CXCL5/CXCL3/CCL5/CXCL6/S100A9/CXCL12/CCL23/REG1A/SPON2/IL17A/TSLP/IGHA2/IGHG1/JCHAIN/CXCL11/XCL2/CXCL2/NPY/LGALS4/DEFA6/PPBP/CCL24/IGHA1/REG3A/IGHG3/CXCL13/IGKV3-20/DMBT1/PF4/KNG1/H2BC6/CCL20/H2BC7/WFDC3/CCL7/IGHG4/DEFB1/CCL3L1/CCL3L3/IGHM/IGHD/IL17F/PGC/REG3G",52
"GO:0002449","GO:0002449","lymphocyte mediated immunity","85/1935","388/18860",0.219072164948454,2.13524601081542,7.63984176407952,8.71766884955341e-12,5.57446491435332e-09,4.47099156787037e-09,"CFI/IL1B/ULBP1/IL6/RAET1L/TNFSF4/APLF/IL23A/FCGR3B/CD27/KLRB1/ULBP2/AZGP1/CD96/SLAMF7/FCGR3A/CD160/ULBP3/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/CD8A/IGLC2/ZP3/KIR2DL4/IGLC3/CRTAM/IGHV3-49/IGKC/CD7/EXO1/IGHV3-64/GZMM/IGHV3-7/CCR2/TBX21/IGHV1-18/NECTIN4/KLRC1/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/GZMB/IGHV1-45/IGLC7/IGHG3/IL2/SECTM1/KLRC4/RAET1G/KLRC3/CEACAM1/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/KLRC2/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/SH2D1B/AICDA/IGHG4/CLC/IGHV2-26/RAET1E/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39/LEP",85
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","54/1935","203/18860",0.266009852216749,2.59273685416428,7.71447931179103,3.06575835559323e-11,1.7643439336439e-08,1.41508951466066e-08,"CFI/TNFSF4/APLF/FCGR3B/CD27/FCGR3A/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/IGLC2/ZP3/IGLC3/IGHV3-49/IGKC/EXO1/IGHV3-64/IGHV3-7/TBX21/IGHV1-18/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/IGHV1-45/IGLC7/IGHG3/IL2/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/AICDA/IGHG4/IGHV2-26/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39",54
"GO:0006959","GO:0006959","humoral immune response","71/1935","307/18860",0.231270358306189,2.25413899620399,7.49105979526152,3.4355744278139e-11,1.79743007564264e-08,1.44162620726928e-08,"SLC11A1/TREM1/CXCL8/PRSS2/CFI/IL1B/IL6/SPNS2/KRT6A/MMP7/REG1B/CFB/CXCL1/KLK7/CXCL5/CXCL3/CCL5/CXCL6/S100A9/CXCL12/CCL23/REG1A/SPON2/BCL2/IL17A/TSLP/CR2/IGHA2/CD55/IGHG1/JCHAIN/FCMR/CXCL11/ZP3/POU2AF1/XCL2/EXO1/CXCL2/NPY/MS4A1/CFD/CCR2/LGALS4/DEFA6/PPBP/CCL24/FCER2/IGHA1/REG3A/IGHG3/FCN3/CXCL13/IGKV3-20/DMBT1/PF4/KNG1/H2BC6/CCL20/H2BC7/WFDC3/CCL7/C4BPB/IGHG4/DEFB1/CCL3L1/CCL3L3/IGHM/IGHD/IL17F/PGC/REG3G",71
"GO:0072001","GO:0072001","renal system development","75/1935","334/18860",0.224550898203593,2.18864596388618,7.41089055902888,4.31380782466047e-11,2.06883033591008e-08,1.6593023957137e-08,"SULF1/KIF26B/ANGPT2/ADAMTS6/EDNRA/ROBO2/PODXL/STRA6/WNT5A/SOX11/ACAT1/TACSTD2/SIX4/SOX4/LGR5/IL6R/NOTCH3/PDGFRB/TFAP2A/COL4A1/PTK7/SOX9/SIX1/WNT7B/MYC/HPGD/GPR4/PLCE1/SERPINB7/VEGFA/BMP2/AGT/BCL2/ITGA8/HEYL/FREM2/HES5/GFRA1/TCF21/WT1/PDGFB/BMP7/MMP9/PDGFD/CALB1/PCSK5/HMGCS2/HELLS/PCSK9/SHH/WNT11/TBX18/BMP6/COL4A3/FGF1/EMX2/ADIPOQ/CITED1/IRX3/SALL1/IRX2/MME/ADAMTS16/TP73/GCNT4/FOXD1/GCNT3/POU3F3/TGFB2/FGFR2/DCHS2/ZBTB16/FOXC2/TMEM59L/WNT1",75
"GO:0072006","GO:0072006","nephron development","46/1935","160/18860",0.2875,2.80219638242894,7.74063836115338,5.13757369303542e-11,2.27436435410914e-08,1.82415065942999e-08,"SULF1/KIF26B/ANGPT2/EDNRA/PODXL/ACAT1/TACSTD2/SIX4/IL6R/NOTCH3/PDGFRB/SOX9/SIX1/WNT7B/MYC/GPR4/PLCE1/SERPINB7/VEGFA/BMP2/AGT/BCL2/HEYL/HES5/TCF21/WT1/PDGFB/BMP7/PDGFD/CALB1/SHH/WNT11/COL4A3/FGF1/ADIPOQ/CITED1/IRX3/SALL1/IRX2/ADAMTS16/FOXD1/POU3F3/DCHS2/FOXC2/TMEM59L/WNT1",46
"GO:0019724","GO:0019724","B cell mediated immunity","54/1935","206/18860",0.262135922330097,2.55497855046286,7.58765372495335,5.62563405753329e-11,2.31253742865029e-08,1.85476731896868e-08,"CFI/TNFSF4/APLF/FCGR3B/CD27/FCGR3A/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/IGLC2/ZP3/IGLC3/IGHV3-49/IGKC/EXO1/IGHV3-64/IGHV3-7/TBX21/IGHV1-18/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/IGHV1-45/IGLC7/IGHG3/IL2/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/AICDA/IGHG4/IGHV2-26/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39",54
"GO:0051216","GO:0051216","cartilage development","55/1935","216/18860",0.25462962962963,2.48181644176476,7.40605979218769,1.24729881325773e-10,4.78546978019882e-08,3.83817915518256e-08,"COL11A1/SULF1/ADAMTS12/COL1A1/TGFBI/STC1/PTH1R/COMP/PRRX1/WNT5A/COL3A1/MMP13/CCN4/RUNX1/LOXL2/MATN3/MSX2/CHRDL2/SNAI1/SERPINH1/BGN/PRKG2/CD44/SOX9/ITGB8/WNT7B/SLC26A2/FGF18/SCIN/HOXD3/BMP2/BMP5/CTSK/HES5/EPYC/BMP7/LUM/TIMP1/RSPO2/WNT11/BMP6/AXIN2/HAND1/GHR/BMP3/CNMD/COL27A1/TRPV4/GPLD1/TGFB2/NKX3-2/GDF5/ZBTB16/LEP/IL17F",55
"GO:0050900","GO:0050900","leukocyte migration","83/1935","397/18860",0.209068010075567,2.03773781396651,7.06589593585452,1.84019310102587e-10,6.61894456025244e-08,5.30871496578846e-08,"TREM1/CXCL8/MMP14/WNT5A/IL1B/TNFAIP6/STAP1/CNN2/IL6/IL16/GDF15/SPNS2/IL6R/FPR2/SELE/ITGA2/THY1/CXCL5/CXCL3/CCL5/IL23A/GPR18/CNR2/THBS4/CXCL6/S100A9/ASCL2/ITGAL/CXCL12/PGF/VEGFA/CCL23/S100A8/CXCR2/ITGB7/BMP5/F7/SERPINE1/IL17A/MMP2/GPR15/P2RY12/PDGFB/ZAP70/CXCL11/ZP3/CXCR1/CXCL17/PDGFD/CRTAM/FFAR2/CSF3R/CCR2/JAM2/KIT/TBX21/CXCR5/DPEP1/PPBP/CCL24/EDN3/VEGFD/SELP/CD200R1/PTN/PLCB1/LYVE1/PADI2/CXCL13/TRIM55/EDN2/ADTRP/PF4/TRPV4/CCL20/CYP19A1/TNFSF11/NKX2-3/MMP28/CCL7/TGFB2/MCOLN2/LEP",83
"GO:0042330","GO:0042330","taxis","94/1935","476/18860",0.197478991596639,1.92478231602719,6.9096884088673,2.9455771882874e-10,9.97164512858469e-08,7.99774363507136e-08,"TREM1/PLAU/ANGPT2/CXCL8/ANOS1/UNC5C/ROBO2/WNT5A/FOSL1/IL1B/TNFAIP6/STAP1/IL6/IL16/IL6R/MET/FPR1/FPR2/CXCL1/PDGFRB/ITGA2/LEF1/CXCL5/ACKR2/CXCL3/CCL5/IL23A/WNT7B/GPR18/CNR2/THBS4/FGF18/CXCL6/S100A9/LOX/CXCL12/PTGDR2/PGF/VEGFA/NRP2/CCL23/S100A8/CXCR2/CCR8/F7/SERPINE1/MMP2/P2RY12/PDGFB/CXCL11/CXCR1/CXCL17/PDGFD/SEMA6D/XCL2/FFAR2/CSF3R/PROK2/CXCL2/CCR2/KIT/CXCR5/DPEP1/NTN1/PPBP/CCL24/RNASE2/FGF1/EDN3/EPHB1/VEGFD/PTN/PADI2/CXCL13/CCR3/CMTM2/EDN2/SMOC2/PF4/CCR9/TRPV4/SERPIND1/CCL20/CYP19A1/TNFSF11/WNT3/MMP28/CCL7/OPN4/TGFB2/DEFB1/CCL3L1/CCL3L3/SEMA3D",94
"GO:0001822","GO:0001822","kidney development","71/1935","323/18860",0.219814241486068,2.14247886016912,7.00269458238468,3.88181233705206e-10,1.24110166665192e-07,9.95423806899023e-08,"SULF1/KIF26B/ANGPT2/ADAMTS6/EDNRA/ROBO2/PODXL/STRA6/WNT5A/SOX11/ACAT1/TACSTD2/SIX4/SOX4/IL6R/NOTCH3/PDGFRB/TFAP2A/PTK7/SOX9/SIX1/WNT7B/MYC/HPGD/GPR4/PLCE1/SERPINB7/VEGFA/BMP2/AGT/BCL2/ITGA8/HEYL/FREM2/HES5/GFRA1/TCF21/WT1/PDGFB/BMP7/MMP9/PDGFD/CALB1/PCSK5/HMGCS2/HELLS/PCSK9/SHH/WNT11/BMP6/COL4A3/FGF1/ADIPOQ/CITED1/IRX3/SALL1/IRX2/MME/ADAMTS16/TP73/GCNT4/FOXD1/GCNT3/POU3F3/TGFB2/FGFR2/DCHS2/ZBTB16/FOXC2/TMEM59L/WNT1",71
"GO:0060326","GO:0060326","cell chemotaxis","72/1935","330/18860",0.218181818181818,2.12656800563777,6.98091177978993,4.15131741568688e-10,1.25741219617253e-07,1.00850564364471e-07,"TREM1/CXCL8/WNT5A/IL1B/TNFAIP6/STAP1/IL6/IL16/IL6R/MET/FPR2/CXCL1/PDGFRB/LEF1/CXCL5/ACKR2/CXCL3/CCL5/IL23A/GPR18/CNR2/THBS4/FGF18/CXCL6/S100A9/LOX/CXCL12/PGF/VEGFA/CCL23/S100A8/CXCR2/CCR8/F7/SERPINE1/MMP2/PDGFB/CXCL11/CXCR1/CXCL17/PDGFD/XCL2/FFAR2/CSF3R/CXCL2/CCR2/KIT/CXCR5/DPEP1/PPBP/CCL24/FGF1/EDN3/EPHB1/VEGFD/PTN/PADI2/CXCL13/CCR3/EDN2/SMOC2/PF4/CCR9/TRPV4/CCL20/CYP19A1/TNFSF11/MMP28/CCL7/TGFB2/CCL3L1/CCL3L3",72
"GO:0006935","GO:0006935","chemotaxis","93/1935","474/18860",0.19620253164557,1.91234095443692,6.80202446632238,5.2231700119919e-10,1.50296717095067e-07,1.20545265803076e-07,"TREM1/PLAU/ANGPT2/CXCL8/ANOS1/UNC5C/ROBO2/WNT5A/FOSL1/IL1B/TNFAIP6/STAP1/IL6/IL16/IL6R/MET/FPR1/FPR2/CXCL1/PDGFRB/ITGA2/LEF1/CXCL5/ACKR2/CXCL3/CCL5/IL23A/WNT7B/GPR18/CNR2/THBS4/FGF18/CXCL6/S100A9/LOX/CXCL12/PTGDR2/PGF/VEGFA/NRP2/CCL23/S100A8/CXCR2/CCR8/F7/SERPINE1/MMP2/P2RY12/PDGFB/CXCL11/CXCR1/CXCL17/PDGFD/SEMA6D/XCL2/FFAR2/CSF3R/PROK2/CXCL2/CCR2/KIT/CXCR5/DPEP1/NTN1/PPBP/CCL24/RNASE2/FGF1/EDN3/EPHB1/VEGFD/PTN/PADI2/CXCL13/CCR3/CMTM2/EDN2/SMOC2/PF4/CCR9/TRPV4/SERPIND1/CCL20/CYP19A1/TNFSF11/WNT3/MMP28/CCL7/TGFB2/DEFB1/CCL3L1/CCL3L3/SEMA3D",93
"GO:0022617","GO:0022617","extracellular matrix disassembly","27/1935","72/18860",0.375,3.65503875968992,7.63189372687309,7.90033237285711e-10,2.16506727646632e-07,1.73648909548764e-07,"MMP1/FAP/MMP3/PDPN/MMP11/MMP14/SH3PXD2B/PRSS2/MMP13/MMP10/CARMIL2/IL6/MMP7/KLK7/ADAMTS4/MMP8/FSCN1/MMP12/CTSK/MMP2/MMP9/CTSV/TMPRSS6/HPN/MMP20/MELTF/TGFB2",27
"GO:0050853","GO:0050853","B cell receptor signaling pathway","28/1935","78/18860",0.358974358974359,3.49884052209634,7.47739631296869,1.23994146938751e-09,3.17985607509501e-07,2.55039899205115e-07,"SLC39A10/STAP1/PLCL2/PLCG2/KLHL6/CD79A/BLK/BCL2/CD79B/CD19/IGHA2/IGHG1/CD22/FCMR/IGLC3/IGKC/PRKCB/MS4A1/FCRL3/IGHA1/IGLC7/IGHG3/BANK1/IGLC6/BMX/IGHG4/IGHM/IGHD",28
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","39/1935","135/18860",0.288888888888889,2.81573356302038,7.15885504408168,1.27083735407794e-09,3.17985607509501e-07,2.55039899205115e-07,"CXCL8/KRT6A/MMP7/REG1B/CXCL1/KLK7/CXCL5/CXCL3/CCL5/CXCL6/S100A9/CXCL12/CCL23/REG1A/IL17A/TSLP/CXCL11/XCL2/CXCL2/NPY/LGALS4/DEFA6/PPBP/CCL24/REG3A/CXCL13/DMBT1/PF4/KNG1/H2BC6/CCL20/H2BC7/CCL7/DEFB1/CCL3L1/CCL3L3/IL17F/PGC/REG3G",39
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","81/1935","402/18860",0.201492537313433,1.96390142311697,6.60524306016712,1.90928384833914e-09,4.5783035613299e-07,3.67202178726629e-07,"SLC11A1/CFI/IL1B/ULBP1/LY9/IL6/RAET1L/RIPK2/IL6R/TNFSF4/LEF1/APLF/IL23A/FCGR3B/CD27/ASCL2/KLHL6/ULBP2/AZGP1/FCGR3A/IRF4/ULBP3/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/CD8A/IGLC2/ZP3/IGLC3/IGHV3-49/IGKC/CD7/EXO1/IGHV3-64/GZMM/IGHV3-7/CCR2/TBX21/IGHV1-18/KLRC1/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/IGHV1-45/IGLC7/IGHG3/IL2/CXCL13/SECTM1/RAET1G/CEACAM1/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/AICDA/IGHG4/CLC/IGHV2-26/RAET1E/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39",81
"GO:0030574","GO:0030574","collagen catabolic process","20/1935","45/18860",0.444444444444444,4.33189778926213,7.56626054424295,3.82739317599132e-09,8.81065909113203e-07,7.06657645335661e-07,"MMP1/FAP/MMP3/MMP11/MMP14/PRSS2/KLK6/MMP13/MMP10/ADAMTS2/MMP7/MMP8/MMP12/CTSK/MMP2/MMP9/TMPRSS6/MMP20/MMP16/MMP28",20
"GO:0006816","GO:0006816","calcium ion transport","85/1935","439/18860",0.193621867881549,1.88718781821499,6.35955466976228,5.58764081830061e-09,1.23680280420462e-06,9.91975910455392e-07,"CEMIP/EDNRA/DHRS7C/STC1/F2R/CACNG8/SLC35G1/IL16/PLCL2/CDH23/PDGFRB/THY1/GRIN2D/RAMP1/TRPV3/GRIN2B/CCL5/NTSR1/CACNA1C/CYP27B1/PLCG2/NCS1/PLPP4/CBARP/HOMER1/STC2/CXCL12/TMEM37/PLCE1/CNGB1/OPRD1/BCL2/NOS3/CACNA1D/GRIN3A/ADRA2A/PLCB4/PDGFB/CD19/CXCL11/P2RX1/TRPM6/JPH1/TRPV6/HOMER2/GSTM2/RYR1/GRIN2A/P2RX6/SLC8A3/PRKCB/PKD1L2/MS4A1/FCRL3/LILRA5/NPSR1/FASLG/P2RX2/PLCB1/ATP1A2/ANK2/GCG/DRD2/ATP2B2/BHLHA15/GPER1/NALF2/SLN/RGS9/TRPV4/CATSPER1/TRPV1/RYR2/CAMK2B/ASIC1/RGS4/CALHM1/CACNG4/CALML3/CACNA1A/FFAR1/CACNG7/CAV3/JPH4/MCOLN2",85
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","42/1935","166/18860",0.253012048192771,2.46605024750163,6.4148610940078,2.29235813373526e-08,4.79806612044828e-06,3.84828203176473e-06,"WNT2/EDNRA/MMP14/WNT5A/TNC/TACSTD2/MSX2/SIX4/MET/LEF1/COL4A1/SOX9/SIX1/MYC/VEGFA/BMP2/CELSR1/AGT/BCL2/NOTCH4/TCF21/WT1/BMP7/LAMA1/GDF7/TBX20/GBX2/SHH/RSPO2/AREG/FGF1/ESR1/CITED1/SALL1/ADAMTS16/FOXD1/HHIP/FGFR2/CAV3/FOXC2/TMEM59L/WNT1",42
"GO:0060993","GO:0060993","kidney morphogenesis","30/1935","98/18860",0.306122448979592,2.98370510995096,6.6571150152467,2.33441965894964e-08,4.79806612044828e-06,3.84828203176473e-06,"KIF26B/TACSTD2/SIX4/SOX4/SOX9/SIX1/WNT7B/MYC/VEGFA/BMP2/AGT/BCL2/HES5/TCF21/WT1/BMP7/CALB1/SHH/WNT11/FGF1/CITED1/IRX3/SALL1/IRX2/ADAMTS16/GCNT4/FOXD1/GCNT3/TMEM59L/WNT1",30
"GO:0061326","GO:0061326","renal tubule development","31/1935","104/18860",0.298076923076923,2.90528721924071,6.5878315846578,2.74911475491939e-08,5.45557083260727e-06,4.37563274058858e-06,"KIF26B/ACAT1/TACSTD2/SIX4/LGR5/COL4A1/SOX9/SIX1/WNT7B/MYC/VEGFA/BMP2/AGT/BCL2/HEYL/HES5/TCF21/WT1/CALB1/SHH/WNT11/FGF1/CITED1/IRX3/SALL1/IRX2/ADAMTS16/FOXD1/POU3F3/TMEM59L/WNT1",31
"GO:0030595","GO:0030595","leukocyte chemotaxis","53/1935","237/18860",0.223628691983122,2.17965743193886,6.17932070789831,3.48514614432494e-08,6.65991864988852e-06,5.34157817545588e-06,"TREM1/CXCL8/WNT5A/IL1B/TNFAIP6/STAP1/IL6/IL16/IL6R/FPR2/CXCL5/CXCL3/CCL5/IL23A/GPR18/CNR2/THBS4/CXCL6/S100A9/CXCL12/PGF/VEGFA/CCL23/S100A8/CXCR2/F7/SERPINE1/MMP2/PDGFB/CXCL11/CXCR1/CXCL17/FFAR2/CSF3R/CCR2/KIT/CXCR5/DPEP1/PPBP/CCL24/EDN3/VEGFD/PTN/PADI2/CXCL13/EDN2/PF4/TRPV4/CYP19A1/TNFSF11/MMP28/CCL7/TGFB2",53
