"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055074","GO:0055074","calcium ion homeostasis","57/1935","331/18860",0.172205438066465,1.67844680203283,4.21055439419583,6.45162427532853e-05,0.00221006533955451,0.00177257972727541,"CEMIP/EDNRA/DHRS7C/STC1/PTH1R/F2R/WNT5A/SLC35G1/PLCL2/CDH23/THY1/CCL5/NTSR1/CACNA1C/CYP27B1/PLCG2/STC2/CXCL12/PLCE1/CNGB1/CCL23/BCL2/PLCB4/CD19/CXCL11/TNNI3/P2RX1/FZD9/JPH1/TRPV6/GSTM2/RYR1/CALB1/SLC8A3/PRKCB/P2RY1/NPY/CCR2/NPSR1/EDN3/FASLG/PLCB1/ATP1A2/GPR12/ANK2/DRD2/EDN2/ATP2B2/GPER1/TRPV4/RYR2/TNFSF11/CCL7/CALML3/CAV3/JPH4/CNR1",57
"GO:0003044","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","16/1935","54/18860",0.296296296296296,2.88793185950809,4.69753966287823,6.72056841315189e-05,0.00228857226140172,0.00183554609104148,"ANPEP/CORIN/F2R/SLC2A5/AGT/NOS3/PCSK5/OXTR/AVPR1B/EDN3/RASL10B/ADRA1A/HSD11B2/ADRB1/EDN2/MME",16
"GO:0030593","GO:0030593","neutrophil chemotaxis","21/1935","83/18860",0.253012048192771,2.46605024750163,4.52595545127815,7.14260654610183e-05,0.00241798239251859,0.00193933930059793,"TREM1/CXCL8/IL1B/TNFAIP6/CXCL5/CXCL3/IL23A/THBS4/CXCL6/S100A9/S100A8/CXCR2/CXCR1/CSF3R/DPEP1/PPBP/EDN3/CXCL13/EDN2/PF4/TGFB2",21
"GO:0061548","GO:0061548","ganglion development","8/1935","16/18860",0.5,4.8733850129199,5.2408241493743,7.30469173138392e-05,0.00245839186632248,0.00197174966094912,"UNC5C/SIX4/SIX1/TUBB3/NRP2/INSM1/ASCL1/RGS4",8
"GO:0002673","GO:0002673","regulation of acute inflammatory response","15/1935","49/18860",0.306122448979592,2.98370510995096,4.70115625811547,7.44298553162798e-05,0.00249037103107669,0.00199739850405071,"OSM/C2CD4A/IL1B/CREB3L3/IL6/DNASE1L3/FCGR1A/PTGS2/ZP3/PLA2G2D/C2CD4B/FFAR2/NPY/TNFSF11/FFAR3",15
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","39/1935","202/18860",0.193069306930693,1.88180213370174,4.26039397623149,7.70387315446669e-05,0.00256276242797432,0.00205545991982576,"SULT1A1/IL1B/FUT1/UGT1A1/CYP3A4/ABCC2/MYC/AHRR/ABCB11/SULT1A2/CRHBP/SMOX/PDE2A/LPO/E2F1/CYP4F12/CMBL/GSTM2/KCNH2/CES3/FMO5/UGT1A10/UGT1A8/SLC28A3/FMO2/SULT1B1/ADIPOQ/CYP3A7/UGT2A3/KCNE2/SLC29A1/FMO1/GPLD1/BCHE/SLCO1A2/UGT1A7/SLC10A1/UGT1A9/CYP2W1",39
"GO:0071621","GO:0071621","granulocyte chemotaxis","27/1935","121/18860",0.223140495867769,2.174899096675,4.38384838505552,7.83038444046413e-05,0.0025898771525788,0.00207720724570086,"TREM1/CXCL8/IL1B/TNFAIP6/CXCL5/CXCL3/CCL5/IL23A/THBS4/CXCL6/S100A9/VEGFA/S100A8/CXCR2/CXCR1/CXCL17/CSF3R/DPEP1/PPBP/CCL24/EDN3/CXCL13/EDN2/PF4/TRPV4/CCL7/TGFB2",27
"GO:0046320","GO:0046320","regulation of fatty acid oxidation","12/1935","34/18860",0.352941176470588,3.44003647970816,4.81495493660522,8.33465025920744e-05,0.0027409092709565,0.00219834233904509,"GDF15/APPL2/SOX9/ABCB11/TWIST1/PDK4/PPARGC1A/ABCD2/FMO2/DGAT2/FMO1/ACADL",12
"GO:0050673","GO:0050673","epithelial cell proliferation","78/1935","496/18860",0.157258064516129,1.53275818954739,4.06558276711755,8.44719518558175e-05,0.00274318691538707,0.00220016912048512,"FAP/SULF1/COL8A1/WNT2/ODAM/MMP14/PDX1/WNT5A/SOX11/TACSTD2/SPARC/CDH3/LOXL2/FUT1/APELA/JCAD/SIX4/APLN/LGR5/IL6/NME1/DACH1/CEBPB/CCL5/SOX9/UHRF1/SIX1/MYC/THBS4/CXCL12/SERPINB5/BRCA2/VEGFA/IQGAP3/NRP2/MMP12/BMP5/KLK8/IL17A/HES5/CDKN2B/PDGFB/VASH2/PROK2/CLDN1/SHH/AREG/KIT/CDKN2A/BMP6/FERMT1/CLDN18/CCL24/REG3A/TMIGD1/COL4A3/FGF1/IGFBP5/PTN/HPN/ESR1/EREG/CCR3/DRD2/CNMD/HMX2/CEACAM1/NODAL/BGLAP/TNFSF11/NKX2-3/MIR135B/TGFB2/FGFR2/GDF5/MIR10B/LEP/REG3G",78
"GO:0090087","GO:0090087","regulation of peptide transport","41/1935","217/18860",0.188940092165899,1.84155562700199,4.21589971487512,8.48284202676392e-05,0.00274318691538707,0.00220016912048512,"PDX1/IL1B/F2RL2/SOX4/APLN/IL6/ADCY5/TFR2/CCL5/CRHBP/NMU/BLK/NNAT/S100A8/VSNL1/ADRA2A/CA2/FFAR2/PRKCB/INHBB/PLCB1/RASL10B/ABCA12/NR1H4/UCN3/ABCC8/GCG/DRD2/GPER1/BRSK2/TNFSF11/GPLD1/EPHA5/MLXIPL/FFAR3/ECRG4/FFAR1/ADRA2C/GRP/LEP/SLC30A8",41
