"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000060718",359.716248153507,5.09292327049794,0.527198326855141,9.6603555266922,4.44319272332325e-22,1.18144494513165e-17
"ENSG00000103888",615.84756725227,3.86058588500014,0.408869198747648,9.44210494902766,3.65364571458073e-21,3.23834798502339e-17
"ENSG00000148848",215.160250093574,3.87567387966638,0.4087394040046,9.48201676103333,2.49415193361268e-21,3.23834798502339e-17
"ENSG00000196611",764.193436312122,5.24238343104057,0.562456156372717,9.32051924695559,1.15772321541811e-20,7.69596507449192e-17
"ENSG00000164379",175.422330985368,4.64304920331115,0.547335160936879,8.48300919561536,2.19443310018019e-17,1.16699952267583e-13
"ENSG00000122641",324.930678510063,4.36007957912595,0.519291774696627,8.39620381369053,4.611449200967e-17,2.04364057089521e-13
"ENSG00000123500",147.513061439931,5.54994261648563,0.664234905493991,8.35539139930947,6.5216109536094e-17,2.47728050366391e-13
"ENSG00000164932",256.526654528599,3.52908303981341,0.433811362513847,8.13506363540849,4.11722023732054e-16,1.36846107637941e-12
"ENSG00000078098",145.200084718288,3.58721471215435,0.445591895105206,8.05044874370392,8.2491017123747e-16,2.19343614532043e-12
"ENSG00000142959",1127.53932358416,-4.36964156631378,0.542774263518082,-8.0505688276213,8.2410114606146e-16,2.19343614532043e-12
"ENSG00000149968",299.666195782902,5.13177151279731,0.640587037303257,8.01104489157483,1.13737919443356e-15,2.74935570727167e-12
"ENSG00000172031",32.5969596463953,3.73480131536685,0.468645532907981,7.96935221422495,1.59508251062015e-15,3.53443699644914e-12
"ENSG00000256612",50.9833142155056,-2.54956990572934,0.322118339660912,-7.9150100811187,2.47233059147681e-15,5.05686695595141e-12
"ENSG00000131389",925.286966330077,2.15552729099515,0.275555957480852,7.822466662311,5.17981749489735e-15,9.83795337066576e-12
"ENSG00000162493",252.396782025293,2.23939095532073,0.288849528330509,7.7527942256439,8.98922220602129e-15,1.59348945638737e-11
"ENSG00000106483",316.841565900939,4.00219214009707,0.524946782662986,7.62399594068274,2.45941104867718e-14,4.08723373652038e-11
"ENSG00000167460",8444.91041615698,0.996249123343577,0.131521831201821,7.57478142024063,3.5973278630822e-14,5.62664399290327e-11
"ENSG00000234093",4.2695322780359,-3.95384063116842,0.525429154800663,-7.52497381434502,5.27308911330428e-14,7.37954944856636e-11
"ENSG00000269404",653.41260375513,-3.37849189324988,0.448828504651374,-7.52735590150208,5.17780992263268e-14,7.37954944856636e-11
"ENSG00000182938",22.3875943747994,-4.77107581601557,0.637392293002798,-7.4853051541284,7.13810859160936e-14,9.49011537254465e-11
"ENSG00000137573",2475.58005882302,2.53668926410071,0.339431573615909,7.47334503115834,7.81814986303322e-14,9.89926689800254e-11
"ENSG00000144810",413.737660400779,2.71367988456926,0.365256484198568,7.42951871346929,1.08993527613446e-13,1.31733540874615e-10
"ENSG00000018280",73.102787177012,2.56299679381244,0.347659037198652,7.37215639341469,1.67889892786249e-13,1.94095315182015e-10
"ENSG00000162849",95.1525705358495,2.9299100578642,0.398086498652706,7.35998349047319,1.83932975681583e-13,2.03782409307221e-10
"ENSG00000124731",51.4197421560635,3.305699777765,0.449559328927507,7.35320026758483,1.9351665809852e-13,2.05824317553585e-10
"ENSG00000049449",2382.33504340483,1.18619279869747,0.162817313430457,7.28542176323351,3.20665521349929e-13,3.27315295704669e-10
"ENSG00000095752",24.9391359469104,4.27381479349901,0.587014862072995,7.28059044094111,3.32362278451526e-13,3.27315295704669e-10
"ENSG00000151388",242.758235771237,2.91048138495132,0.400374791958699,7.26939218803654,3.61108591636636e-13,3.42924194700648e-10
"ENSG00000101187",391.834794424584,2.56454170435318,0.353675588942324,7.25111312325091,4.1336025138899e-13,3.79008589118388e-10
"ENSG00000108821",23937.7942267429,2.90235637903003,0.400752357379056,7.24226901124578,4.41239534249402e-13,3.9108530718972e-10
"ENSG00000225614",108.159550306059,2.26049818553249,0.315375762676169,7.16763446357036,7.63047098351187e-13,6.54497495005099e-10
"ENSG00000099953",618.472864512173,3.18509314499041,0.445660981923074,7.14689702303846,8.87614118668353e-13,7.37551856730985e-10
"ENSG00000122861",575.119811288641,1.89255154209395,0.265489177544839,7.12854497345495,1.01435457062935e-12,8.17323879788918e-10
"ENSG00000185479",46.9791995781774,5.56051636439244,0.781862959288137,7.11188105068326,1.14471903533033e-12,8.95237622042158e-10
"ENSG00000204262",2685.61338843856,1.93454239002254,0.272831990290787,7.0905995589472,1.33532211354235e-12,1.01446328568832e-09
"ENSG00000107159",99.1363764325547,4.05210455544322,0.572317840542461,7.08016467143939,1.43983264890688e-12,1.06347639262317e-09
"ENSG00000198759",61.3952720310786,3.62803276524944,0.513317340950388,7.06781648664405,1.57390492503817e-12,1.13108464748014e-09
"ENSG00000117122",172.477359059202,2.29537309824845,0.326684314525949,7.02627275380291,2.12123608726903e-12,1.46583326570253e-09
"ENSG00000134827",31.6437182629803,5.17674640781634,0.736966901844853,7.02439471142783,2.14996229268141e-12,1.46583326570253e-09
"ENSG00000091879",119.392294675528,2.04110680673281,0.291151942696933,7.0104523013863,2.37548919029656e-12,1.57910643924964e-09
"ENSG00000176971",119.440307618534,2.01227368706036,0.288280140825997,6.98027162500572,2.94609902115171e-12,1.91065299932741e-09
"ENSG00000103569",35.2484515712665,2.41803622394162,0.347324786747539,6.96188788190124,3.35742670411914e-12,2.12557085863162e-09
"ENSG00000118777",365.4184983458,-2.66025116209191,0.382929127536559,-6.94711102079309,3.72842292089285e-12,2.30555268526839e-09
"ENSG00000168748",995.44667208583,-4.02798761523051,0.580179345934492,-6.9426594439391,3.8478626277202e-12,2.32533334707e-09
"ENSG00000112559",100.184978106316,2.65883982817337,0.384540286810047,6.91433360657675,4.70067787775045e-12,2.77757832820855e-09
"ENSG00000181085",87.977235353342,2.77119230604038,0.402431926830551,6.88611444888474,5.73368682309265e-12,3.31432027447899e-09
"ENSG00000141682",102.983358676176,1.47290769297638,0.214136898736528,6.87834605650395,6.05514355789987e-12,3.42566525967144e-09
"ENSG00000049192",30.0696187297645,1.91702077659954,0.28033607629529,6.83829495630187,8.01412634856451e-12,4.28424158529704e-09
"ENSG00000105989",65.6483178811195,4.8353189093089,0.70670957405504,6.84201698522952,7.80858272917814e-12,4.28424158529704e-09
"ENSG00000174939",73.2379572770223,1.80270574440899,0.263648055305384,6.83754614583033,8.05611430104745e-12,4.28424158529704e-09
"ENSG00000120708",3844.42891221068,1.96961587875218,0.288389901704983,6.82969780532421,8.50936912941315e-12,4.43655147355089e-09
"ENSG00000169429",425.574785979705,3.09772981108848,0.454662590129602,6.81324982159951,9.54182271188752e-12,4.87917434440556e-09
"ENSG00000255874",51.3348289641664,2.44582272634396,0.359812277287032,6.79749658567894,1.06452671109417e-11,5.34071042414979e-09
"ENSG00000006327",287.708584571133,2.2918190992149,0.338546953099288,6.76957532251889,1.29160956809461e-11,6.35998118808067e-09
"ENSG00000151617",205.485709261551,2.00490995688057,0.297901300003411,6.73011482950095,1.69529243693886e-11,8.19596834512804e-09
"ENSG00000275216",148.799019484502,2.99415211415948,0.445264276396182,6.72443821092751,1.76271199366986e-11,8.36973426994316e-09
"ENSG00000137699",457.21903343455,3.31699759977756,0.493892070929728,6.71603735920172,1.86732937220431e-11,8.71092772051097e-09
"ENSG00000169247",66.6727130655476,2.30966534540767,0.344041613528682,6.71333133721372,1.9023047677127e-11,8.7210834092208e-09
"ENSG00000040199",1113.17364537531,-1.69771684385756,0.252985719043808,-6.71072205290599,1.93663690838794e-11,8.7279958294975e-09
"ENSG00000129451",198.720032942396,4.06623471945544,0.607261394863406,6.69602045157188,2.14171762716172e-11,9.491378617705e-09
"ENSG00000183034",521.953227438676,-4.55780947774631,0.683580236996325,-6.66755595184185,2.60098316365456e-11,1.13377282494385e-08
"ENSG00000265688",22.1868546409133,2.08477164983576,0.312791948438872,6.66504256340594,2.64588663143779e-11,1.13474396016017e-08
"ENSG00000163191",2328.54874815049,1.51673525713175,0.228733768932337,6.63100714954084,3.33404084153143e-11,1.40717692025906e-08
"ENSG00000008300",229.099571451804,1.91199587737933,0.288494907681672,6.62748570761272,3.41452684500427e-11,1.41862920013537e-08
"ENSG00000184544",7.0295863473125,-3.50164052113975,0.528825840378683,-6.62153823389621,3.55480047189224e-11,1.45418683919407e-08
